model,selected_by,grid_search_scoring,best_cv_roc_auc,best_params,threshold,validation_positive_f1_tuned,val_accuracy,val_positive_f1,val_positive_precision,val_positive_recall,val_macro_f1,val_weighted_f1,val_roc_auc,val_average_precision,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_positive_f1,test_positive_precision,test_positive_recall,test_macro_f1,test_weighted_f1,test_roc_auc,test_average_precision,test_tn,test_fp,test_fn,test_tp
Support Vector Machine,validation_roc_auc_after_grid_search,roc_auc,0.8520546729854134,"{'model__C': 0.5, 'model__gamma': 0.01}",0.18336031808518238,0.2882882882882883,0.9227005870841487,0.2882882882882883,0.26229508196721313,0.32,0.6237095864617851,0.9263107967513781,0.8466666666666667,0.20752553187784917,927,45,34,16,0.9168297455968689,0.32,0.26666666666666666,0.4,0.637853048462741,0.9246050158625915,0.8405555555555555,0.2854779013167317,917,55,30,20
Logistic Regression,validation_roc_auc_after_grid_search,roc_auc,0.8528840935626081,"{'model__C': 0.1, 'model__solver': 'lbfgs'}",0.7661216103851057,0.28571428571428575,0.9070450097847358,0.2857142857142857,0.2289156626506024,0.38,0.6180010465724751,0.9177744257419963,0.8429012345679012,0.21251776651728424,908,64,31,19,0.8972602739726028,0.33121019108280253,0.24299065420560748,0.52,0.6377831559547558,0.914358766142565,0.8387037037037037,0.23749885762249584,891,81,24,26
Random Forest,validation_roc_auc_after_grid_search,roc_auc,0.8485801799692272,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__n_estimators': 400}",0.5838298710780975,0.2711864406779661,0.9158512720156555,0.2711864406779661,0.23529411764705882,0.32,0.6132671559568439,0.9218761769814283,0.8378600823045268,0.19732338680394212,920,52,34,16,0.9256360078277887,0.2962962962962963,0.27586206896551724,0.32,0.6285200489745943,0.9282365851481666,0.8366255144032922,0.2514272176664237,930,42,34,16
Naive Bayes,validation_roc_auc_after_grid_search,roc_auc,0.8186031656391546,{'model__var_smoothing': 1e-09},0.9999999374020108,0.3076923076923077,0.8943248532289628,0.3076923076923077,0.22641509433962265,0.48,0.6252444589308996,0.9117249711050501,0.8249176954732509,0.19905001483601123,890,82,26,24,0.8835616438356164,0.23225806451612904,0.17142857142857143,0.36,0.5846308850902509,0.9025249560974331,0.7882201646090535,0.1612805207217992,885,87,32,18
Decision Tree,validation_roc_auc_after_grid_search,roc_auc,0.8212563407580497,"{'model__criterion': 'entropy', 'model__max_depth': 3, 'model__min_samples_leaf': 20}",0.7723177475357952,0.2627118644067797,0.8297455968688845,0.2627118644067797,0.16666666666666666,0.62,0.5832364631768412,0.8723985767443525,0.8226234567901235,0.16279644187246403,817,155,19,31,0.8454011741682974,0.29464285714285715,0.1896551724137931,0.66,0.6039148351648351,0.8829253671964044,0.7932716049382716,0.1570441127654165,831,141,17,33
K-Nearest Neighbors,validation_roc_auc_after_grid_search,roc_auc,0.7939860576919181,"{'model__n_neighbors': 25, 'model__p': 2, 'model__weights': 'uniform'}",0.16,0.2714285714285714,0.9001956947162426,0.2714285714285714,0.2111111111111111,0.38,0.6089285714285714,0.9134050880626223,0.7736316872427984,0.17841207976762627,901,71,31,19,0.8962818003913894,0.2638888888888889,0.20212765957446807,0.38,0.6040497076023392,0.9109266888682895,0.7613786008230453,0.1301114632337018,897,75,31,19
