dataset,threshold,accuracy,positive_f1,positive_precision,positive_recall,macro_f1,weighted_f1,roc_auc,average_precision,tn,fp,fn,tp
validation,0.18336031808518238,0.9227005870841487,0.2882882882882883,0.26229508196721313,0.32,0.6237095864617851,0.9263107967513781,0.8466666666666667,0.20752553187784917,927,45,34,16
test,0.18336031808518238,0.9168297455968689,0.32,0.26666666666666666,0.4,0.637853048462741,0.9246050158625915,0.8405555555555555,0.2854779013167317,917,55,30,20
